day,daily tweet count,day of week,title,box office,days since release,weekend,star,theaters
28,46,5,LeaveNoTrace,203492,29,1,13368,289
29,45,6,LeaveNoTrace,136204,30,1,13368,289
30,46,0,LeaveNoTrace,62018,31,0,13368,289
31,49,1,LeaveNoTrace,73996,32,0,13368,289
32,25,2,LeaveNoTrace,83066,33,0,13368,289
33,39,3,LeaveNoTrace,68857,34,0,13368,289
34,51,4,LeaveNoTrace,72236,35,1,13368,169
35,191,5,LeaveNoTrace,118034,36,1,13368,169
36,179,6,LeaveNoTrace,80506,37,1,13368,169
19,686,3,sanju,43045,20,0,34888,223
20,651,4,sanju,59027,21,1,34888,112
21,428,5,sanju,92855,22,1,34888,112
22,279,6,sanju,71456,23,1,34888,112
23,546,0,sanju,21869,24,0,34888,112
24,435,1,sanju,43105,25,0,34888,112
25,721,2,sanju,23119,26,0,34888,112
26,252,3,sanju,15265,27,0,34888,112
27,784,4,sanju,19032,28,1,34888,44
28,624,5,sanju,33766,29,1,34888,44
29,564,6,sanju,25749,30,1,34888,44
30,1190,0,sanju,7522,31,0,34888,44
31,750,1,sanju,17407,32,0,34888,44
32,254,2,sanju,10986,33,0,34888,44
33,226,3,sanju,6816,34,0,34888,44
34,599,4,sanju,6337,35,1,34888,16
35,500,5,sanju,9304,36,1,34888,16
36,266,6,sanju,8558,37,1,34888,16
18,15,2,Sicario,480566,19,0,1219,2006
19,19,3,Sicario,353142,20,0,1219,2006
20,5,4,Sicario,516222,21,1,1219,1448
21,13,5,Sicario,759494,22,1,1219,1448
22,19,6,Sicario,606378,23,1,1219,1448
23,10,0,Sicario,239381,24,0,1219,1448
24,17,1,Sicario,297470,25,0,1219,1448
25,14,2,Sicario,250157,26,0,1219,1448
26,8,3,Sicario,176119,27,0,1219,1448
27,11,4,Sicario,188084,28,1,1219,574
28,13,5,Sicario,282218,29,1,1219,574
29,7,6,Sicario,205389,30,1,1219,574
30,9,0,Sicario,85173,31,0,1219,574
31,10,1,Sicario,105015,32,0,1219,574
32,9,2,Sicario,85550,33,0,1219,574
33,4,3,Sicario,70087,34,0,1219,574
34,5,4,Sicario,97694,35,1,1219,216
35,5,5,Sicario,144921,36,1,1219,216
36,3,6,Sicario,121730,37,1,1219,216
18,39,2,UncleDrew,423929,19,0,12060,1702
19,39,3,UncleDrew,326300,20,0,12060,1702
20,41,4,UncleDrew,436059,21,1,12060,1237
21,43,5,UncleDrew,621164,22,1,12060,1237
22,30,6,UncleDrew,449060,23,1,12060,1237
23,28,0,UncleDrew,218652,24,0,12060,1237
24,21,1,UncleDrew,301983,25,0,12060,1237
25,25,2,UncleDrew,215353,26,0,12060,1237
26,33,3,UncleDrew,146926,27,0,12060,1237
27,28,4,UncleDrew,130286,28,1,12060,532
28,25,5,UncleDrew,209017,29,1,12060,532
29,18,6,UncleDrew,144486,30,1,12060,532
30,20,0,UncleDrew,75039,31,0,12060,532
31,17,1,UncleDrew,106732,32,0,12060,532
32,13,2,UncleDrew,78694,33,0,12060,532
33,14,3,UncleDrew,50891,34,0,12060,532
34,16,4,UncleDrew,55905,35,1,12060,202
35,11,5,UncleDrew,83186,36,1,12060,202
36,147,6,UncleDrew,52773,37,1,12060,202
19,110,3,TheFirstPurge,1025200,15,0,29140,3038
20,57,4,TheFirstPurge,1501435,16,1,29140,2331
21,56,5,TheFirstPurge,1992495,17,1,29140,2331
22,91,6,TheFirstPurge,1611375,18,1,29140,2331
23,80,0,TheFirstPurge,778060,19,0,29140,2331
24,76,1,TheFirstPurge,964365,20,0,29140,2331
25,65,2,TheFirstPurge,712230,21,0,29140,2331
26,60,3,TheFirstPurge,482550,22,0,29140,2331
27,54,4,TheFirstPurge,676940,23,1,29140,1400
28,58,5,TheFirstPurge,886690,24,1,29140,1400
29,39,6,TheFirstPurge,651770,25,1,29140,1400
30,55,0,TheFirstPurge,361840,26,0,29140,1400
31,83,1,TheFirstPurge,452690,27,0,29140,1400
32,48,2,TheFirstPurge,346175,28,0,29140,1400
33,33,3,TheFirstPurge,198100,29,0,29140,1400
34,34,4,TheFirstPurge,286050,30,1,29140,708
35,23,5,TheFirstPurge,379770,31,1,29140,708
36,26,6,TheFirstPurge,264505,32,1,29140,708
19,165,3,AntMan,2992247,13,0,1716,4206
20,733,4,AntMan,4483139,14,1,1716,3778
21,582,5,AntMan,6609304,15,1,1716,3778
22,709,6,AntMan,5414713,16,1,1716,3778
23,575,0,AntMan,2272573,17,0,1716,3778
24,391,1,AntMan,3315774,18,0,1716,3778
25,544,2,AntMan,2271063,19,0,1716,3778
26,511,3,AntMan,1859269,20,0,1716,3778
27,1000,4,AntMan,2519657,21,1,1716,3013
28,710,5,AntMan,3511225,22,1,1716,3013
29,443,6,AntMan,2735218,23,1,1716,3013
30,439,0,AntMan,1278835,24,0,1716,3013
31,373,1,AntMan,1908663,25,0,1716,3013
32,714,2,AntMan,1376054,26,0,1716,3013
33,983,3,AntMan,1227656,27,0,1716,3013
34,1281,4,AntMan,1831798,28,1,1716,2233
35,718,5,AntMan,2593399,29,1,1716,2233
36,513,6,AntMan,1939303,30,1,1716,2233
20,1250,4,SorryToBotherYou,796951,14,1,11091,1050
21,1118,5,SorryToBotherYou,1123985,15,1,11091,1050
22,839,6,SorryToBotherYou,942484,16,1,11091,1050
23,720,0,SorryToBotherYou,416427,17,0,11091,1050
24,531,1,SorryToBotherYou,493273,18,0,11091,1050
25,460,2,SorryToBotherYou,421784,19,0,11091,1050
26,491,3,SorryToBotherYou,277313,20,0,11091,1050
27,507,4,SorryToBotherYou,429105,21,1,11091,802
28,497,5,SorryToBotherYou,546072,22,1,11091,802
29,543,6,SorryToBotherYou,398614,23,1,11091,802
30,413,0,SorryToBotherYou,196626,24,0,11091,802
31,560,1,SorryToBotherYou,240406,25,0,11091,802
32,431,2,SorryToBotherYou,217382,26,0,11091,802
33,379,3,SorryToBotherYou,176976,27,0,11091,802
34,1187,4,SorryToBotherYou,233674,28,1,11091,404
35,802,5,SorryToBotherYou,328128,29,1,11091,404
36,621,6,SorryToBotherYou,240350,30,1,11091,404
19,400,3,Soorma,14191,7,0,60838,50
20,250,4,Soorma,18879,8,1,60838,50
21,173,5,Soorma,32110,9,1,60838,50
22,676,6,Soorma,27494,10,1,60838,50
23,460,0,Soorma,6984,11,0,60838,50
24,184,1,Soorma,14682,12,0,60838,50
25,167,2,Soorma,6872,13,0,60838,50
26,118,3,Soorma,6480,14,0,60838,50
27,263,4,Soorma,3621,15,1,60838,18
28,81,5,Soorma,7206,16,1,60838,18
29,121,6,Soorma,6329,17,1,60838,18
30,217,0,Soorma,1926,18,0,60838,18
31,119,1,Soorma,3570,19,0,60838,18
32,51,2,Soorma,1084,20,0,60838,18
33,52,3,Soorma,1393,21,0,60838,18
20,556,4,EighthGrade,285489,7,1,17946,33
21,514,5,EighthGrade,279906,8,1,17946,33
22,195,6,EighthGrade,258778,9,1,17946,33
23,164,0,EighthGrade,109175,10,0,17946,33
24,125,1,EighthGrade,115974,11,0,17946,33
25,162,2,EighthGrade,113029,12,0,17946,33
26,166,3,EighthGrade,83685,13,0,17946,33
27,175,4,EighthGrade,454459,14,1,17946,158
28,175,5,EighthGrade,461666,15,1,17946,158
29,154,6,EighthGrade,352921,16,1,17946,158
30,153,0,EighthGrade,184749,17,0,17946,158
31,227,1,EighthGrade,221487,18,0,17946,158
32,280,2,EighthGrade,209290,19,0,17946,158
33,309,3,EighthGrade,178065,20,0,17946,158
34,362,4,EighthGrade,1003461,21,1,17946,1084
35,385,5,EighthGrade,1057099,22,1,17946,1084
36,270,6,EighthGrade,790332,23,1,17946,1084
20,137,4,HotelT3,6755090,7,1,994,4267
21,152,5,HotelT3,9267347,8,1,994,4267
22,423,6,HotelT3,7743272,9,1,994,4267
23,265,0,HotelT3,3310642,10,0,994,4267
24,110,1,HotelT3,5360662,11,0,994,4267
25,120,2,HotelT3,3604864,12,0,994,4267
26,74,3,HotelT3,2942356,13,0,994,4267
27,116,4,HotelT3,3743385,14,1,994,4005
28,409,5,HotelT3,4865330,15,1,994,4005
29,236,6,HotelT3,3644925,16,1,994,4005
30,120,0,HotelT3,1870542,17,0,994,4005
31,75,1,HotelT3,3077345,18,0,994,4005
32,168,2,HotelT3,2253664,19,0,994,4005
33,127,3,HotelT3,1877189,20,0,994,4005
34,97,4,HotelT3,2438242,21,1,994,3162
35,60,5,HotelT3,3280964,22,1,994,3162
36,73,6,HotelT3,2285365,23,1,994,3162
19,63,3,SkyscraperMovie,1896860,6,0,11286,3782
20,67,4,SkyscraperMovie,3164480,7,1,11286,3822
21,46,5,SkyscraperMovie,4583995,8,1,11286,3822
22,40,6,SkyscraperMovie,3611555,9,1,11286,3822
23,49,0,SkyscraperMovie,1519605,10,0,11286,3822
24,54,1,SkyscraperMovie,2355480,11,0,11286,3822
25,28,2,SkyscraperMovie,1586540,12,0,11286,3822
26,38,3,SkyscraperMovie,1138985,13,0,11286,3822
27,36,4,SkyscraperMovie,1558500,14,1,11286,2773
28,27,5,SkyscraperMovie,2201395,15,1,11286,2773
29,12,6,SkyscraperMovie,1581560,16,1,11286,2773
30,18,0,SkyscraperMovie,701280,17,0,11286,2773
31,20,1,SkyscraperMovie,1109605,18,0,11286,2773
32,21,2,SkyscraperMovie,782975,19,0,11286,2773
33,10,3,SkyscraperMovie,545090,20,0,11286,2773
34,8,4,SkyscraperMovie,650245,21,1,11286,1523
35,10,5,SkyscraperMovie,955365,22,1,11286,1523
36,8,6,SkyscraperMovie,642075,23,1,11286,1523
20,555,4,Incredibles2,3213371,5,1,700,3164
21,713,5,Incredibles2,4726762,6,1,700,3164
22,620,6,Incredibles2,3954930,7,1,700,3164
23,393,0,Incredibles2,1819687,8,0,700,3164
24,341,1,Incredibles2,2507228,9,0,700,3164
25,384,2,Incredibles2,1950083,10,0,700,3164
26,353,3,Incredibles2,1636147,11,0,700,3164
27,604,4,Incredibles2,2151107,12,1,700,2616
28,286,5,Incredibles2,2904346,13,1,700,2616
29,406,6,Incredibles2,2201660,14,1,700,2616
30,394,0,Incredibles2,1147888,15,0,700,2616
31,783,1,Incredibles2,1667541,16,0,700,2616
32,349,2,Incredibles2,1325380,17,0,700,2616
33,288,3,Incredibles2,1110720,18,0,700,2616
34,189,4,Incredibles2,1458744,19,1,700,1802
35,138,5,Incredibles2,2061807,20,1,700,1802
36,168,6,Incredibles2,1459681,21,1,700,1802
19,186,3,Blindspotting,0,-1,0,15368,0
20,362,4,Blindspotting,143178,0,1,15368,14
21,314,5,Blindspotting,105062,1,1,15368,14
22,226,6,Blindspotting,90759,2,1,15368,14
23,141,0,Blindspotting,36945,3,0,15368,14
24,147,1,Blindspotting,33989,4,0,15368,14
25,159,2,Blindspotting,34772,5,0,15368,14
26,281,3,Blindspotting,24279,6,0,15368,14
27,440,4,Blindspotting,471508,7,1,15368,523
28,470,5,Blindspotting,471039,8,1,15368,523
29,397,6,Blindspotting,339001,9,1,15368,523
30,289,0,Blindspotting,170677,10,0,15368,523
31,188,1,Blindspotting,253510,11,0,15368,523
32,173,2,Blindspotting,190813,12,0,15368,523
33,153,3,Blindspotting,146954,13,0,15368,523
34,114,4,Blindspotting,194778,14,1,15368,523
35,153,5,Blindspotting,271063,15,1,15368,523
36,158,6,Blindspotting,198008,16,1,15368,523
18,1309,2,MammaMia2,0,-2,0,1695,0
19,1451,3,MammaMia2,0,-1,0,1695,0
20,2867,4,MammaMia2,14286815,0,1,1695,3317
21,2451,5,MammaMia2,10937980,1,1,1695,3317
22,1535,6,MammaMia2,9727385,2,1,1695,3317
23,1208,0,MammaMia2,4906510,3,0,1695,3317
24,1056,1,MammaMia2,6742430,4,0,1695,3317
25,1220,2,MammaMia2,4865225,5,0,1695,3317
26,1803,3,MammaMia2,3958180,6,0,1695,3317
27,1063,4,MammaMia2,4784820,7,1,1695,3514
28,812,5,MammaMia2,5635360,8,1,1695,3514
29,1093,6,MammaMia2,4679915,9,1,1695,3514
30,860,0,MammaMia2,2602225,10,0,1695,3514
31,699,1,MammaMia2,3866650,11,0,1695,3514
32,646,2,MammaMia2,2863700,12,0,1695,3514
33,575,3,MammaMia2,2387355,13,0,1695,3514
34,670,4,MammaMia2,2821190,14,1,1695,3359
35,662,5,MammaMia2,3476580,15,1,1695,3359
36,788,6,MammaMia2,2705260,16,1,1695,3359
19,623,3,TheEqualizer2,0,-1,0,12824,0
20,648,4,TheEqualizer2,13375850,0,1,12824,3388
21,591,5,TheEqualizer2,12709883,1,1,12824,3388
22,1026,6,TheEqualizer2,9925907,2,1,12824,3388
23,467,0,TheEqualizer2,3688910,3,0,12824,3388
24,268,1,TheEqualizer2,5002719,4,0,12824,3388
25,140,2,TheEqualizer2,3126325,5,0,12824,3388
26,93,3,TheEqualizer2,2401751,6,0,12824,3388
27,91,4,TheEqualizer2,3989067,7,1,12824,3388
28,119,5,TheEqualizer2,5743517,8,1,12824,3388
29,93,6,TheEqualizer2,4287433,9,1,12824,3388
30,88,0,TheEqualizer2,1575933,10,0,12824,3388
31,45,1,TheEqualizer2,2301064,11,0,12824,3388
32,629,2,TheEqualizer2,1545485,12,0,12824,3388
33,84,3,TheEqualizer2,1382421,13,0,12824,3388
34,58,4,TheEqualizer2,2418734,14,1,12824,2725
35,53,5,TheEqualizer2,3661353,15,1,12824,2725
36,51,6,TheEqualizer2,2675820,16,1,12824,2725
18,49,2,UnfriendedMovie,0,-2,0,13766,0
19,72,3,UnfriendedMovie,0,-1,0,13766,0
20,140,4,UnfriendedMovie,1401070,0,1,13766,1546
21,102,5,UnfriendedMovie,1224220,1,1,13766,1546
22,101,6,UnfriendedMovie,1027745,2,1,13766,1546
23,76,0,UnfriendedMovie,589365,3,0,13766,1546
24,50,1,UnfriendedMovie,741280,4,0,13766,1546
25,41,2,UnfriendedMovie,523300,5,0,13766,1546
26,35,3,UnfriendedMovie,386450,6,0,13766,1546
27,27,4,UnfriendedMovie,480440,7,1,13766,1547
28,29,5,UnfriendedMovie,552180,8,1,13766,1547
29,13,6,UnfriendedMovie,438290,9,1,13766,1547
30,17,0,UnfriendedMovie,279010,10,0,13766,1547
31,20,1,UnfriendedMovie,371625,11,0,13766,1547
32,8,2,UnfriendedMovie,276080,12,0,13766,1547
33,11,3,UnfriendedMovie,120910,13,0,13766,1547
34,5,4,UnfriendedMovie,65390,14,1,13766,208
35,4,5,UnfriendedMovie,89205,15,1,13766,208
36,3,6,UnfriendedMovie,69350,16,1,13766,208
21,952,5,MissionImpossible,0,-6,1,1092,0
22,1251,6,MissionImpossible,0,-5,1,1092,0
23,1254,0,MissionImpossible,0,-4,0,1092,0
24,1762,1,MissionImpossible,0,-3,0,1092,0
25,1999,2,MissionImpossible,0,-2,0,1092,0
26,1733,3,MissionImpossible,0,-1,0,1092,0
27,5409,4,MissionImpossible,22803458,0,1,1092,4386
28,4768,5,MissionImpossible,21421918,1,1,1092,4386
29,3515,6,MissionImpossible,17011158,2,1,1092,4386
30,2473,0,MissionImpossible,6838935,3,0,1092,4386
31,2028,1,MissionImpossible,9451166,4,0,1092,4386
32,938,2,MissionImpossible,6328934,5,0,1092,4386
33,3906,3,MissionImpossible,5631802,6,0,1092,4386
34,5434,4,MissionImpossible,9851648,7,1,1092,4395
35,2955,5,MissionImpossible,14731942,8,1,1092,4395
36,1444,6,MissionImpossible,10740225,9,1,1092,4395
18,76,2,TeenTitansGOMovie,0,-9,0,16014,0
19,158,3,TeenTitansGOMovie,0,-8,0,16014,0
20,278,4,TeenTitansGOMovie,0,-7,1,16014,0
21,513,5,TeenTitansGOMovie,0,-6,1,16014,0
22,374,6,TeenTitansGOMovie,0,-5,1,16014,0
23,354,0,TeenTitansGOMovie,0,-4,0,16014,0
24,329,1,TeenTitansGOMovie,0,-3,0,16014,0
25,347,2,TeenTitansGOMovie,0,-2,0,16014,0
26,643,3,TeenTitansGOMovie,0,-1,0,16014,0
27,1470,4,TeenTitansGOMovie,4239719,0,1,16014,3188
28,1220,5,TeenTitansGOMovie,3498956,1,1,16014,3188
29,780,6,TeenTitansGOMovie,2672514,2,1,16014,3188
30,619,0,TeenTitansGOMovie,1189426,3,0,16014,3188
31,357,1,TeenTitansGOMovie,2039886,4,0,16014,3188
32,368,2,TeenTitansGOMovie,1249517,5,0,16014,3188
33,284,3,TeenTitansGOMovie,1034539,6,0,16014,3188
34,381,4,TeenTitansGOMovie,1427537,7,1,16014,3188
35,329,5,TeenTitansGOMovie,1965898,8,1,16014,3188
36,237,6,TeenTitansGOMovie,1383340,9,1,16014,3188
18,310,2,ChristopherRobin,0,-16,0,1823,0
19,366,3,ChristopherRobin,0,-15,0,1823,0
20,472,4,ChristopherRobin,0,-14,1,1823,0
21,236,5,ChristopherRobin,0,-13,1,1823,0
22,160,6,ChristopherRobin,0,-12,1,1823,0
23,273,0,ChristopherRobin,0,-11,0,1823,0
24,1259,1,ChristopherRobin,0,-10,0,1823,0
25,1626,2,ChristopherRobin,0,-9,0,1823,0
26,701,3,ChristopherRobin,0,-8,0,1823,0
27,1433,4,ChristopherRobin,0,-7,1,1823,0
28,1046,5,ChristopherRobin,0,-6,1,1823,0
29,3404,6,ChristopherRobin,0,-5,1,1823,0
30,2086,0,ChristopherRobin,0,-4,0,1823,0
31,2877,1,ChristopherRobin,0,-3,0,1823,0
32,2247,2,ChristopherRobin,0,-2,0,1823,0
33,3225,3,ChristopherRobin,0,-1,0,1823,0
34,4494,4,ChristopherRobin,9514392,0,1,1823,3602
35,3208,5,ChristopherRobin,8643041,1,1,1823,3602
36,2427,6,ChristopherRobin,6427706,2,1,1823,3602
21,8,5,nevergoinback,0,-13,1,11547,0
23,2,0,nevergoinback,0,-11,0,11547,0
24,1,1,nevergoinback,0,-10,0,11547,0
26,6,3,nevergoinback,0,-8,0,11547,0
27,16,4,nevergoinback,0,-7,1,11547,0
28,6,5,nevergoinback,0,-6,1,11547,0
29,4,6,nevergoinback,0,-5,1,11547,0
30,8,0,nevergoinback,0,-4,0,11547,0
31,4,1,nevergoinback,0,-3,0,11547,0
32,8,2,nevergoinback,0,-2,0,11547,0
33,19,3,nevergoinback,0,-1,0,11547,0
34,34,4,nevergoinback,4280,0,1,11547,2
35,26,5,nevergoinback,3164,1,1,11547,2
36,5,6,nevergoinback,2878,2,1,11547,2
20,20,4,TheSpyWhoDumpedMe,0,-14,1,858,0
21,20,5,TheSpyWhoDumpedMe,0,-13,1,858,0
22,24,6,TheSpyWhoDumpedMe,0,-12,1,858,0
23,41,0,TheSpyWhoDumpedMe,0,-11,0,858,0
24,50,1,TheSpyWhoDumpedMe,0,-10,0,858,0
25,153,2,TheSpyWhoDumpedMe,0,-9,0,858,0
26,266,3,TheSpyWhoDumpedMe,0,-8,0,858,0
27,258,4,TheSpyWhoDumpedMe,0,-7,1,858,0
28,221,5,TheSpyWhoDumpedMe,0,-6,1,858,0
29,125,6,TheSpyWhoDumpedMe,0,-5,1,858,0
30,149,0,TheSpyWhoDumpedMe,0,-4,0,858,0
31,118,1,TheSpyWhoDumpedMe,0,-3,0,858,0
32,141,2,TheSpyWhoDumpedMe,0,-2,0,858,0
33,190,3,TheSpyWhoDumpedMe,0,-1,0,858,0
34,517,4,TheSpyWhoDumpedMe,5011316,0,1,858,3111
35,441,5,TheSpyWhoDumpedMe,4101508,1,1,858,3111
